snapshot,carrier,region,components,components_t,attribute,value,status,aggregation
1/3/2022,anthracite,KR,generators,generators_t,fuel_cost,79.008,FALSE,national
1/3/2022,oil,KR,generators,generators_t,fuel_cost,309.27,FALSE,national
1/3/2022,LNG,KR,generators,generators_t,fuel_cost,184.143,FALSE,national
1/2/2022,nuclear,KR,generators,generators_t,fuel_cost,6.363,FALSE,national
1/2/2022,bituminous,KR,generators,generators_t,fuel_cost,87.042,FALSE,national
1/2/2022,anthracite,KR,generators,generators_t,fuel_cost,87.186,FALSE,national
1/2/2022,oil,KR,generators,generators_t,fuel_cost,301.093,FALSE,national
1/2/2022,LNG,KR,generators,generators_t,fuel_cost,203.318,FALSE,national
1/1/2022,nuclear,KR,generators,generators_t,fuel_cost,6.363,FALSE,national
1/1/2022,bituminous,KR,generators,generators_t,fuel_cost,79.307,FALSE,national
1/1/2022,anthracite,KR,generators,generators_t,fuel_cost,86.063,FALSE,national
1/1/2022,oil,KR,generators,generators_t,fuel_cost,224.672,FALSE,national
1/1/2022,LNG,KR,generators,generators_t,fuel_cost,158.074,FALSE,national
1/12/2021,nuclear,KR,generators,generators_t,fuel_cost,6.36,FALSE,national
1/12/2021,bituminous,KR,generators,generators_t,fuel_cost,73.121,FALSE,national
1/12/2021,anthracite,KR,generators,generators_t,fuel_cost,56.576,FALSE,national
1/12/2021,oil,KR,generators,generators_t,fuel_cost,217.037,FALSE,national
1/12/2021,LNG,KR,generators,generators_t,fuel_cost,145.782,FALSE,national
1/11/2021,nuclear,KR,generators,generators_t,fuel_cost,6.333,FALSE,national
1/11/2021,bituminous,KR,generators,generators_t,fuel_cost,66.519,FALSE,national
1/11/2021,anthracite,KR,generators,generators_t,fuel_cost,70.542,FALSE,national
1/11/2021,oil,KR,generators,generators_t,fuel_cost,211.781,FALSE,national
1/11/2021,LNG,KR,generators,generators_t,fuel_cost,135.047,FALSE,national
1/10/2021,nuclear,KR,generators,generators_t,fuel_cost,6.317,FALSE,national
