snapshot,carrier,marginalcost_t
1/8/2021,LNG,141930.6363
1/8/2021,PSH,163840.4723
1/8/2021,fuelcell,92685.0495
1/8/2021,IGCC,92757.6511
1/8/2021,solar,97921.7532
1/8/2021,wind,100696.6453
1/8/2021,hydro,114366.6258
1/8/2021,ocean,91645.7939
1/8/2021,bio,156942.1563
1/8/2021,waste,
1/8/2021,miscellaneous,98477.3021
1/7/2021,nuclear,64284.44661
1/7/2021,bituminous,100282.8779
1/7/2021,anthracite,100794.9232
1/7/2021,oil,212503.4918
1/7/2021,LNG,121215.8503
1/7/2021,PSH,137926.7805
1/7/2021,fuelcell,86113.8524
1/7/2021,IGCC,90278.7505
1/7/2021,solar,91103.8748
1/7/2021,wind,92769.1576
1/7/2021,hydro,104765.0569
1/7/2021,ocean,85034.383
1/7/2021,bio,143147.9522
1/7/2021,waste,
1/7/2021,miscellaneous,91462.11674
1/6/2021,nuclear,69586.48274
1/6/2021,bituminous,93096.75985
1/6/2021,anthracite,93867.17054
1/6/2021,oil,183662.1809
1/6/2021,LNG,101209.8455
1/6/2021,PSH,102540.01
1/6/2021,fuelcell,82131.7103
1/6/2021,IGCC,87500
1/6/2021,solar,83948.0494
1/6/2021,wind,86644.7626
1/6/2021,hydro,90841.921
1/6/2021,ocean,81252.2193
1/6/2021,bio,125573.0799
1/6/2021,waste,
1/6/2021,miscellaneous,84424.49703
1/5/2021,nuclear,64650.28547
1/5/2021,bituminous,86545.3045
1/5/2021,anthracite,84531.81004
1/5/2021,oil,163814.7255
1/5/2021,LNG,94290.89907
1/5/2021,PSH,94347.27352
1/5/2021,fuelcell,78552.0332
1/5/2021,IGCC,78593.6814
1/5/2021,solar,78949.4258
1/5/2021,wind,80781.3857
1/5/2021,hydro,83631.8539
1/5/2021,ocean,78332.7445
1/5/2021,bio,105511.9336
1/5/2021,waste,
1/5/2021,miscellaneous,80544.82525
1/4/2021,nuclear,62566.54164
1/4/2021,bituminous,82020.72955
1/4/2021,anthracite,82324.08661
1/4/2021,oil,189972.2234
1/4/2021,LNG,88545.39008
1/4/2021,PSH,90059.31599
1/4/2021,fuelcell,75780.3947
1/4/2021,IGCC,75810.5682
1/4/2021,solar,76339.0076
1/4/2021,wind,80428.6326
1/4/2021,hydro,80112.759
1/4/2021,ocean,75861.5521
1/4/2021,bio,108302.5777
1/4/2021,waste,
1/4/2021,miscellaneous,78067.07451
1/3/2021,nuclear,69461.25877
1/3/2021,bituminous,92069.78262
1/3/2021,anthracite,89255.82726
1/3/2021,oil,228576.5634
1/3/2021,LNG,99028.50826
1/3/2021,PSH,100024.8691
1/3/2021,fuelcell,83614.1483
1/3/2021,IGCC,83703.714
1/3/2021,solar,84743.6246
